state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Arunachal Pradesh,AR,Talley Valley Wildlife Sanctuary,Wildlife Sanctuary / Trekking Destination,nan,Daytime entry with permits,Not documented (forest permit required),October–April,Naharlagun (Itanagar) ~120 km,Ziro Bus Stand ~30 km,Lilabari (Assam) ~140 km,No metro available,Trekking trails only,Compulsory with forest guides; trekking packages available,Parking available near trail start,Homestays in Ziro; basic forest huts on trek,,https://en.wikipedia.org/wiki/Talley_Valley_Wildlife_Sanctuary,Dense subtropical forests; endangered clouded leopards; UNESCO tentative heritage zone,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Bhismaknagar Fort,Archaeological / Historical Monument,nan,9:00 am – 5:00 pm,Not documented,October–April,Tinsukia (Assam) ~150 km,Roing Bus Stand ~30 km,Dibrugarh (Assam) ~160 km,No metro available,Motoring road up to fort site; moderate walking required,Local guides available at site,Available,"Lodges in Roing town, small shops near site",,https://en.wikipedia.org/wiki/Bhismaknagar,8th-century fort of Chutia dynasty; one of the oldest archaeological sites in Arunachal,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Malinithan Temple,Archaeological Temple Ruins / Pilgrimage Site,nan,6:00 am – 7:00 pm,Free,October–March,Silapathar (Assam) ~15 km,Likabali Bus Stand ~2 km,Dibrugarh (Assam) ~100 km,No metro available,Easily motorable; steps at temple site,Local temple guides available,Available,Hotels in Likabali; local eateries & shops,,https://en.wikipedia.org/wiki/Malinithan_Temple,Archaeological site (8th–12th century); associated with Krishna–Rukmini legends,Arunachal Pradesh_tourist.csv
Arunachal Pradesh,AR,Tipi Orchidarium,Orchid Research Centre / Botanical Attraction,nan,8:00 am – 4:00 pm (closed on Sundays),₹20 (approx.),March–April,Bhalukpong (Assam/Arunachal border) ~5 km,Bhalukpong Bus Stand ~5 km,Tezpur (Salonibari) ~60 km,No metro available,Motoring road; wheelchair access limited inside greenhouses,Available; staff provide orchid information,Available,Small shops nearby; hotels & eateries in Bhalukpong,,https://en.wikipedia.org/wiki/Tipi_Orchidarium,Houses over 1000 species of orchids; major research & conservation center,Arunachal Pradesh_tourist.csv
Assam,AS,Kaziranga National Park,National Park / Wildlife Sanctuary,nan,9:00 AM – 6:00 PM for regular visitor operations,"Indians ~ ₹50; Foreigners ~ ₹500. Safari fees extra (~₹1,100–₹2,000)",Nov to Apr,Helem Railway Station (~depends on range); major junctions are Furkating / Golaghat / Nagaon,Kohora / Bokakhat bus stand (gateway entrance),Jorhat Airport (for Central Range) / Tezpur Airport (for Western),No metro available,Good roads to major entrances; internal tracks may be rough; not particularly wheelchair-friendly,Yes — forest department approved guides; safari/elephant ride/jeep safari with permits,Available at entry gates (e.g. Kohora etc.); charges vary,"Lodges, resorts, restaurants in and around Golaghat / Bokakhat",https://kaziranga.nptr.in/,https://en.wikipedia.org/wiki/Kaziranga_National_Park,Famous for one-horned rhino; UNESCO World Heritage Site; safari operations sometimes suspended in monsoon,Assam_tourist.csv
Assam,AS,Nameri National Park,National Park / Wildlife Sanctuary / Eco-Tourism,nan,Daily operations; park open throughout the day,Indians ~ ₹20; Foreigners ~ ₹250. Boating fees extra,Nov to Apr,Rangapara North Railway Station,Local bus stands in Tezpur region / Rangapar,Tezpur Airport (Salonibari),No metro available,Access roads up to park entry good; internal trails can be moderate; not very accessible for wheelchair,Yes – local guides / forest department guides; rafting guides,Parking available at entry points; small / basic parking,Lodges and guesthouses in Tezpur region; some homestays,www.assamforest.in,https://en.wikipedia.org/wiki/Nameri_National_Park,Famous for birdwatching; rafting on Jia Bhoroli River; tranquil compared to more crowded parks,Assam_tourist.csv
Assam,AS,Kamakhya Temple,Religious / Hindu Temple / Pilgrimage Site,nan,Morning: 5:30 AM to ~1:00 PM; Afternoon: ~2:30 PM to ~5:30 PM,General / free darshan; VIP / special darshan pass ~ ₹500,"Oct to Mar; festivals like Ambubachi (June), Durga Puja (Sept/Oct) are major but very crowded",Kamakhya Station (~6-7 km) OR Guwahati Railway Station (~7-8 km),Guwahati city bus stands,"Lokpriya Gopinath Bordoloi International Airport, Guwahati (~20 km)",No metro available,Road access good; hill top requires walk/steep steps; difficult during heavy crowds for mobility-impaired,Local priests / “pandas” help with darshan process; many guides operate in Guwahati,Parking available near temple base / on Nilachal Hill; limited during festivals,"Hotels in Guwahati; eateries, shops, markets",,https://en.wikipedia.org/wiki/Kamakhya_Temple,One of the 51 Shakti Peethas; Ambubachi Mela is biggest festival when temple is closed for 3 days,Assam_tourist.csv
Assam,AS,Chandubi Lake,Natural Lake / Picnic Spot / Eco Tourism,nan,Open throughout daylight hours; boating etc available seasonally,Not documented clearly; small boat/rowing charges may apply,Winter / post-monsoon (Oct-Feb),Guwahati Railway Station (~64 km),Local bus terminus in Kamrup / Guwahati region,Guwahati International Airport (~64 km),No metro available,Road up to lake region; some forested/uneven paths; not ideal for wheelchair,Local villagers / tourism services may guide,Basic parking at lake entry / nearby village; informal or small charges,Basic guesthouses or homestays; local eateries; shops small scale,Assam Tourism pages / Kamrup district site,https://en.wikipedia.org/wiki/Chandubi_Lake,Lake was formed after 1897 earthquake; cultural festival (Chandubi Festival) in first week of January; migratory birds in winter,Assam_tourist.csv
Assam,AS,Manas National Park,National Park / Wildlife Sanctuary / Tiger Reserve,nan,5:30 AM to 6:30 PM approx visitor hours,Indians ~ ₹20; Foreigners ~ ₹250; Safari / Jeep fees etc additional,Nov to Apr,Guwahati Railway Station; closer stations like Barpeta Road / Pathsala exist,Local bus stands in Barpeta / Manas gate towns,Guwahati Airport is major; also closer small airstrips depending on range,No metro available,Varies by zone; forests; not wheelchair friendly in many parts,"Yes – wildlife guides, forest dept, safaris, nature walks",Parking at park entrances; basic facilities,Lodges / eco-tourism rest houses near entrances; towns outside offer more services,Assam Tourism / Manas National Park pages,https://en.wikipedia.org/wiki/Manas_National_Park,UNESCO Biosphere Reserve; dense biodiversity; riverine landscapes; endangered species; cross-border habitat with Bhutan,Assam_tourist.csv
Assam,AS,Majuli Island,River Island / Cultural / Eco-Tourism / Satras,nan,Accessible year-round when river ferry is operational; ferry timings vary,Not documented fixed entry fee; Satras may accept donations; boat/ferry charges separately,Nov to Apr,Jorhat Railway Station (~approx distance by road + ferry),Bus stand in Jorhat / Nimatighat ferry terminal,Jorhat Airport is the closest by flight; then road + ferry,No metro available,Access involves road + ferry; river crossings can be affected by monsoon; internal roads may be rural / uneven,Local guides and tour operators provide cultural tours,Parking at ferry terminals; basic,"Homestays, guesthouses; local eateries; shops; cultural performances",Assam Tourism Majuli pages,https://en.wikipedia.org/wiki/Majuli,Largest river island in the world; major center of Assamese culture and Satriya tradition,Assam_tourist.csv
Assam,AS,Tezpur,City / Heritage Town / Scenic & Cultural Attractions,nan,Individual attractions vary,For many temples free / donation; parks/gardens small admission fees (e.g. Chitralekha Udyan ~ ₹20),Oct to Mar,Dekargaon Railway Station (~8-14 km) or Rangapara North,Tezpur ASTC Bus Station; Mission Chariali Bus Stand,Tezpur Airport (Salonibari / Sonitpur) (~15 km),No metro available,Good road connectivity; city infrastructure reasonable; some attractions require walking,Local guides available; heritage walks; English / Assamese,City parking available near major temples / parks,"Hotels, restaurants in Tezpur; shops; cultural centers; tea stalls",Tezpur tourism / Assam tourism pages,https://en.wikipedia.org/wiki/Tezpur,"Tezpur known for myths (Agnigarh), ancient temples, elegant colonial era architecture",Assam_tourist.csv
Assam,AS,Sivasagar,Heritage / Historical Monuments / Temples,nan,Temples & museums / tanks are open daylight,Many heritage sites are free / nominal fee; museums / Ahom monuments may charge small fees,Oct to Mar,Simaluguri Junction / Sivasagar railway station,Sivasagar Town Bus Stand,Jorhat Airport (~nearest) / Dibrugarh,No metro available,Town roads decent; monuments often centrally located; walking required for some,Yes – local history guides; academic/cultural tours,Available in town; near heritage sites / temples,"Hotels, restaurants, shops; local markets; cultural events",Assam tourism / Sivasagar site,"https://en.wikipedia.org/wiki/Sivasagar,_Assam","Sivasagar was capital of Ahom Kingdom; has famous Rang Ghar, Talatal Ghar, Joysagar Tank etc",Assam_tourist.csv
Assam,AS,Haflong Hill Station,Hill Station / Natural Landscape / Trekking,nan,Open year-round; attractions open daylight hours,Not applicable (free to visit town / hills; parks may charge small nominal fee),Oct to Mar,Haflong Hill Railway Station (~2–3 km),Haflong ASTC Bus Stand (~2 km),Silchar Airport (~110 km),No metro available,Hill roads; limited wheelchair accessibility; trekking paths for nearby viewpoints,Local guides available for trekking / sightseeing,Available in town centre and at viewpoints,"Resorts, hotels, guesthouses; restaurants; local markets",Assam Tourism – Haflong page,https://en.wikipedia.org/wiki/Haflong,Assam’s only hill station; known as “Switzerland of the East”,Assam_tourist.csv
Assam,AS,Dibru-Saikhowa National Park,National Park / Wildlife Sanctuary / Eco-Tourism,nan,7:00 AM – 4:00 PM (daily; closed during heavy monsoon),Indians ~ ₹20; Foreigners ~ ₹250; boating charges extra,Nov to Apr,Tinsukia Railway Station (~12 km),Tinsukia Bus Stand (~12 km),Dibrugarh Airport (Mohanbari) (~40 km),No metro available,Road till park entry; inside areas accessible by boat safaris & walking trails; not wheelchair-friendly,Yes – boat tours with naturalists; birdwatching guides available,Available at entry points; basic,"Eco camps, lodges near Guijan & Tinsukia; local eateries and rest houses",Assam Forest Department – Dibru-Saikhowa,https://en.wikipedia.org/wiki/Dibru-Saikhowa_National_Park,"Known for feral horses, migratory birds, and rich biodiversity; part of Brahmaputra floodplain ecosystem",Assam_tourist.csv
Assam,AS,Dibrugarh Tea Gardens,Eco-Tourism / Plantation Experience / Cultural Heritage,nan,Gardens open generally 9:00 AM – 5:00 PM,Free entry in some gardens; guided tours chargeable (~₹200–₹500),Oct to Mar,"Dibrugarh Railway Station (within city, ~5–10 km)",Dibrugarh ASTC Bus Stand (~3–6 km),Dibrugarh Airport (Mohanbari) (~15 km),No metro available,Well-paved roads to most gardens; internal paths easy; wheelchair access possible in some estates,"Yes – tea estate tours include plantation walks, tea factory visits, tasting sessions",Available in estates; free or included in tour fee,Heritage tea bungalows (converted into resorts); restaurants; shops selling Assam Tea,Assam Tourism – Tea Tourism page,https://en.wikipedia.org/wiki/Dibrugarh,"Dibrugarh is called the “Tea City of India”; offers tea tasting, heritage bungalows, Assamese & British colonial culture",Assam_tourist.csv
Assam,AS,Hojai Town & Bordua Satra,Religious / Cultural / Vaishnavite Monastery,nan,5:00 AM – 8:00 PM (daily),Free; donations accepted,Oct to Feb,Hojai Railway Station (~5 km),Hojai ASTC Bus Stand (~5 km),Tezpur Airport (~125 km); Guwahati Airport (~180 km),No metro available,Well-connected by road & rail; within town; not fully wheelchair-friendly inside old structures,Local priests and cultural guides explain Satra history,Available near temple/satra area,Guesthouses in Hojai; local restaurants; shops,Assam Tourism – Bordua Satra page,https://en.wikipedia.org/wiki/Bordowa,Birthplace of Srimanta Sankardev; hub of Assamese Vaishnavism,Assam_tourist.csv
Assam,AS,Pobitora Wildlife Sanctuary,Wildlife Sanctuary / Rhino Conservation / Eco-Tourism,nan,6:30 AM – 3:00 PM (Jeep safari timings vary),Indians ₹50; Foreigners ₹500; Jeep safari extra,Nov to Mar,Guwahati Railway Station (~48 km),Guwahati Bus Terminals (~50 km); Marigaon bus stand (~30 km),Guwahati Airport (~50 km),No metro available,Road from Guwahati to Pobitora is good; internal safaris by jeep; not wheelchair-friendly,Yes – official guides with jeep safaris; English/Hindi/Assamese support,Available at entry gate; nominal charge,"Eco lodges, homestays; tea stalls; basic eateries",Assam Forest Dept – Pobitora Sanctuary,https://en.wikipedia.org/wiki/Pobitora_Wildlife_Sanctuary,High density of one-horned rhinos; birdwatcher’s paradise; smaller & less crowded than Kaziranga,Assam_tourist.csv
Assam,AS,"Auniati Satra, Majuli",Religious / Cultural / Vaishnavite Monastery,nan,6:00 AM – 8:00 PM (daily),Free; donations accepted,Nov – Mar,Jorhat Town Railway Station (~20 km + ferry),Jorhat ASTC Bus Stand (~20 km + ferry),Jorhat Airport (~22 km),No metro available,Requires ferry from Jorhat; local roads in Majuli,Local priests/guides explain history & culture,Available near ferry point / satra area,"Guesthouses, homestays, tea stalls",Assam Tourism – Satras page,https://en.wikipedia.org/wiki/Auniati_Satra,"Founded in 1653, one of Majuli’s most important satras, known for traditional dance & cultural heritage",Assam_tourist.csv
Assam,AS,Gibbon Wildlife Sanctuary,Wildlife Sanctuary / Eco-Tourism,nan,7:00 AM – 4:00 PM (daily),Indians ₹50; Foreigners ₹300,Oct – Apr,Mariani Junction (~5 km),Jorhat Bus Stand (~18 km),Jorhat Airport (~25 km),No metro available,Road access good; walking trails inside forest,Yes – forest guides mandatory,At entrance,"Eco-lodges, homestays in Mariani & Jorhat",Assam Forest Dept – Gibbon Sanctuary,https://en.wikipedia.org/wiki/Hoollongapar_Gibbon_Sanctuary,"Only sanctuary in India dedicated to Hoolock Gibbons; also home to elephants, leopards, and birdlife",Assam_tourist.csv
Assam,AS,Agnigarh Hill,Historical Monument / Scenic Hill / Cultural Heritage,nan,6:00 AM – 7:00 PM (daily),₹20 (approx),Oct – Mar,Tezpur Railway Station (~5 km),Tezpur ASTC Bus Stand (~3 km),Tezpur Airport (~12 km),No metro available,Hilltop park with steps; moderate difficulty for elderly,"Not official, but local guides narrate legends",Available at entrance,"Restaurants, hotels, riverfront gardens",Assam Tourism – Tezpur page,https://en.wikipedia.org/wiki/Agnigarh,Associated with the legend of Usha & Aniruddha (Mahabharata); scenic view of Brahmaputra River,Assam_tourist.csv
